,S&P 500,S&P 500 daily exposure,S&P/Gold/BTC 60/30/10 daily exposure,Static HMM daily exposure,Static HMM/Gold/BTC 60/30/10 daily exposure,Static HMM with momentum/Gold/BTC 60/30/10 daily exposure
2024-10-29,33637.45992402404,19344.92879020357,35274.47195908838,35227.67946136485,36077.81182897774,50465.71446762717
2024-10-30,33535.69523398983,19212.139039431324,35141.59461504019,34877.078097385864,35950.906405542664,50183.98336913197
2024-10-31,32878.29655773187,18902.173717579506,34560.855000564225,34603.30440696427,35587.79299423096,49596.8230157
2024-11-01,33017.061364514026,19017.947473175413,34679.08383715348,34818.32775551932,35676.97122394624,49769.13857248556
2024-11-02,33017.061364514026,19017.947473175413,34669.55647249996,34818.32775551932,35667.16076407583,49755.46625394716
2024-11-03,33017.061364514026,19017.947473175413,34642.52432346239,34818.32775551932,35639.325384305215,49716.67355881482
2024-11-04,32945.938518738054,19005.60261560462,34594.3530018056,34760.14994264821,35540.01334826336,49616.94804019658
2024-11-05,33344.3184165387,19178.048176003023,34834.67949112106,35211.03196252939,35655.83636859591,50078.094512801654
2024-11-06,34173.44074143924,19486.097240341798,35087.66845520464,36497.73886328665,36034.499630441074,51062.72022028106
2024-11-07,34437.67905092905,20150.08343379392,36306.495109887146,37868.114878548644,37163.58160646126,52944.973039337296
2024-11-08,34586.85058957711,20020.54576061253,36002.43339652396,37886.2025828688,36902.38904750355,52728.11586600641
2024-11-09,34586.85058957711,20020.54576061253,36013.99982502801,37886.2025828688,36914.2991597759,52744.714358938094
2024-11-10,34586.85058957711,20020.54576061253,36197.13339431398,37886.2025828688,37102.87434270867,53007.52160788959
2024-11-11,34619.80583919319,20208.878668770772,36641.800922729,38809.26229672902,37609.79322527296,54142.96009454247
2024-11-12,34512.26482025308,20259.571121736008,36698.14470615846,38828.570854585465,37619.716322053326,54160.61541426505
2024-11-13,34529.02982460868,20487.04866000437,37161.57909942422,39330.82705366699,38165.965290942026,54899.47728608003
2024-11-14,34307.00757065497,20425.446247549982,36925.26036445087,39019.379194629524,38069.00928429929,54389.4898132161
2024-11-15,33867.57909673017,20176.51481696935,36846.114516103466,38663.11777439132,38247.860938812875,54361.431870877364
2024-11-16,33867.57909673017,20176.51481696935,36820.227871505915,38663.11777439132,38221.205100893414,54324.28304077597
2024-11-17,33867.57909673017,20176.51481696935,36783.88041485899,38663.11777439132,38183.77761933961,54272.12234121113
2024-11-18,34006.34749575667,20134.63668899571,36858.28546123218,38660.59329484895,38215.37933739,54442.65650914233
2024-11-19,34130.65351905238,20104.743716688867,36904.698366087694,38763.06462473286,38058.204385064324,54644.44597853236
2024-11-20,34142.2169535972,20061.53741889932,37002.41975104952,38488.1555467075,38268.52540494786,54616.28653809574
2024-11-21,34325.504036784594,20249.343788034086,37571.233412157075,38896.13834625797,38826.749517164695,55487.75582442678
