rebalance_date,selected_assets,sample_members
2018-08-31,30,"PTT.BK, AOT.BK, CPALL.BK, KBANK.BK, SCC.BK, IVL.BK, PTTGC.BK, ADVANC.BK, BANPU.BK, TRUE.BK"
2018-09-28,30,"PTT.BK, AOT.BK, CPALL.BK, KBANK.BK, SCC.BK, PTTGC.BK, IVL.BK, ADVANC.BK, BANPU.BK, PTTEP.BK"
2018-10-31,30,"PTT.BK, AOT.BK, CPALL.BK, PTTGC.BK, KBANK.BK, SCC.BK, IVL.BK, ADVANC.BK, PTTEP.BK, BANPU.BK"
2018-11-30,30,"PTT.BK, AOT.BK, CPALL.BK, PTTGC.BK, KBANK.BK, SCC.BK, IVL.BK, ADVANC.BK, PTTEP.BK, BANPU.BK"
2018-12-31,30,"PTT.BK, AOT.BK, CPALL.BK, PTTGC.BK, KBANK.BK, SCC.BK, IVL.BK, PTTEP.BK, ADVANC.BK, BANPU.BK"
2019-01-31,30,"PTT.BK, AOT.BK, CPALL.BK, PTTGC.BK, KBANK.BK, SCC.BK, IVL.BK, PTTEP.BK, ADVANC.BK, BANPU.BK"
2019-02-28,30,"PTT.BK, AOT.BK, CPALL.BK, PTTGC.BK, KBANK.BK, SCC.BK, PTTEP.BK, IVL.BK, ADVANC.BK, EA.BK"
2019-03-29,30,"PTT.BK, AOT.BK, CPALL.BK, PTTGC.BK, KBANK.BK, PTTEP.BK, SCC.BK, IVL.BK, ADVANC.BK, EA.BK"
2019-04-30,30,"PTT.BK, AOT.BK, CPALL.BK, PTTGC.BK, PTTEP.BK, KBANK.BK, SCC.BK, IVL.BK, ADVANC.BK, EA.BK"
2019-05-31,30,"PTT.BK, AOT.BK, CPALL.BK, PTTGC.BK, SCC.BK, PTTEP.BK, KBANK.BK, IVL.BK, ADVANC.BK, EA.BK"
2019-06-28,30,"PTT.BK, AOT.BK, CPALL.BK, PTTGC.BK, PTTEP.BK, SCC.BK, KBANK.BK, IVL.BK, EA.BK, ADVANC.BK"
2019-07-31,30,"PTT.BK, AOT.BK, CPALL.BK, PTTGC.BK, PTTEP.BK, SCC.BK, KBANK.BK, IVL.BK, EA.BK, ADVANC.BK"
2019-08-30,30,"PTT.BK, AOT.BK, CPALL.BK, PTTGC.BK, PTTEP.BK, SCC.BK, KBANK.BK, IVL.BK, EA.BK, ADVANC.BK"
2019-09-30,30,"PTT.BK, CPALL.BK, AOT.BK, PTTGC.BK, PTTEP.BK, SCC.BK, KBANK.BK, IVL.BK, EA.BK, ADVANC.BK"
2019-10-31,30,"PTT.BK, CPALL.BK, AOT.BK, PTTGC.BK, PTTEP.BK, SCC.BK, KBANK.BK, IVL.BK, EA.BK, ADVANC.BK"
2019-11-29,30,"PTT.BK, CPALL.BK, AOT.BK, PTTGC.BK, PTTEP.BK, SCC.BK, KBANK.BK, IVL.BK, EA.BK, ADVANC.BK"
2019-12-31,30,"PTT.BK, CPALL.BK, AOT.BK, PTTGC.BK, PTTEP.BK, SCC.BK, KBANK.BK, IVL.BK, EA.BK, ADVANC.BK"
2020-01-31,30,"PTT.BK, CPALL.BK, AOT.BK, PTTGC.BK, PTTEP.BK, SCC.BK, KBANK.BK, IVL.BK, ADVANC.BK, EA.BK"
